natx =      424
    x       y        z       iph  
      4.20913     -2.67500     -8.58425   3      9.92783
      3.10359      6.49704     -6.83893   3      9.93050
     -1.08267     -5.57737     -8.14638   2      9.93191
      7.60092     -5.57737     -3.19092   2      9.95304
      3.27540     -8.25238      4.51760   2      9.96186
      1.25899     -2.90238      9.47306   2      9.98738
      8.68359      0.00000      4.95546   3      9.99807
     -8.68359      0.00000     -4.95546   3      9.99807
     -1.31719      0.00000     -9.91092   3      9.99807
      1.31719      0.00000      9.91092   3      9.99807
