# 2Theta    Intensity
3.0802e+00  1.3480e+01
3.0862e+00  1.3568e+01
3.0923e+00  1.3655e+01
3.0983e+00  1.3573e+01
3.1044e+00  1.3795e+01
3.1104e+00  1.3618e+01
3.1164e+00  1.3766e+01
3.1225e+00  1.3784e+01
3.1285e+00  1.3709e+01
3.1345e+00  1.3711e+01
3.1406e+00  1.3727e+01
3.1466e+00  1.3628e+01
3.1526e+00  1.3547e+01
3.1587e+00  1.3421e+01
3.1647e+00  1.3418e+01
3.1707e+00  1.3639e+01
3.1768e+00  1.3671e+01
3.1828e+00  1.3509e+01
3.1888e+00  1.3312e+01
3.1949e+00  1.3491e+01
3.2009e+00  1.3639e+01
3.2070e+00  1.3863e+01
3.2130e+00  1.3782e+01
3.2190e+00  1.3768e+01
3.2251e+00  1.3858e+01
3.2311e+00  1.3889e+01
3.2371e+00  1.3977e+01
3.2432e+00  1.4013e+01
3.2492e+00  1.3886e+01
3.2552e+00  1.4019e+01
3.2613e+00  1.4143e+01
3.2673e+00  1.4057e+01
3.2733e+00  1.3716e+01
3.2794e+00  1.3658e+01
3.2854e+00  1.3361e+01
3.2914e+00  1.3151e+01
3.2975e+00  1.3059e+01
3.3035e+00  1.2980e+01
3.3095e+00  1.3009e+01
3.3156e+00  1.2930e+01
3.3216e+00  1.2936e+01
3.3276e+00  1.2690e+01
3.3337e+00  1.2323e+01
3.3397e+00  1.2711e+01
3.3457e+00  1.2340e+01
3.3518e+00  1.2469e+01
3.3578e+00  1.2165e+01
3.3638e+00  1.2300e+01
3.3699e+00  1.2244e+01
3.3759e+00  1.2334e+01
3.3819e+00  1.2099e+01
3.3879e+00  1.2065e+01
3.3940e+00  1.2182e+01
3.4000e+00  1.1795e+01
3.4060e+00  1.1848e+01
3.4121e+00  1.1959e+01
3.4181e+00  1.1617e+01
3.4241e+00  1.1695e+01
3.4302e+00  1.1688e+01
3.4362e+00  1.1796e+01
3.4422e+00  1.1520e+01
3.4483e+00  1.1732e+01
3.4543e+00  1.1848e+01
3.4603e+00  1.1572e+01
3.4664e+00  1.1617e+01
3.4724e+00  1.1744e+01
3.4784e+00  1.1724e+01
3.4845e+00  1.1792e+01
3.4905e+00  1.1972e+01
3.4965e+00  1.1990e+01
3.5025e+00  1.1653e+01
3.5086e+00  1.1780e+01
3.5146e+00  1.1667e+01
3.5206e+00  1.1561e+01
3.5267e+00  1.1333e+01
3.5327e+00  1.1151e+01
3.5387e+00  1.1087e+01
3.5448e+00  1.1189e+01
3.5508e+00  1.1231e+01
3.5568e+00  1.1199e+01
3.5629e+00  1.1179e+01
3.5689e+00  1.1051e+01
3.5749e+00  1.1014e+01
3.5809e+00  1.1097e+01
3.5870e+00  1.1173e+01
3.5930e+00  1.1130e+01
3.5990e+00  1.1185e+01
3.6051e+00  1.1183e+01
3.6111e+00  1.1083e+01
3.6171e+00  1.1150e+01
3.6231e+00  1.1159e+01
3.6292e+00  1.1175e+01
3.6352e+00  1.1316e+01
3.6412e+00  1.1254e+01
3.6473e+00  1.1458e+01
3.6533e+00  1.1725e+01
3.6593e+00  1.2205e+01
3.6654e+00  1.3118e+01
3.6714e+00  1.5024e+01
3.6774e+00  1.9612e+01
3.6834e+00  3.1951e+01
3.6895e+00  6.1914e+01
3.6955e+00  1.1633e+02
3.7015e+00  2.0019e+02
3.7075e+00  2.3450e+02
3.7136e+00  2.1301e+02
3.7196e+00  1.2869e+02
3.7256e+00  6.2810e+01
3.7317e+00  3.5912e+01
3.7377e+00  2.0546e+01
3.7437e+00  1.5180e+01
3.7497e+00  1.3236e+01
3.7558e+00  1.1903e+01
3.7618e+00  1.1325e+01
3.7678e+00  1.1183e+01
3.7739e+00  1.0850e+01
3.7799e+00  1.0672e+01
3.7859e+00  1.0581e+01
3.7919e+00  1.0214e+01
3.7980e+00  1.0207e+01
3.8040e+00  1.0192e+01
3.8100e+00  1.0091e+01
3.8160e+00  1.0093e+01
3.8221e+00  9.7922e+00
3.8281e+00  9.7713e+00
3.8341e+00  9.6826e+00
3.8401e+00  9.8432e+00
3.8462e+00  9.5737e+00
3.8522e+00  9.2828e+00
3.8582e+00  9.5849e+00
3.8643e+00  9.5128e+00
3.8703e+00  9.7055e+00
3.8763e+00  9.4687e+00
3.8823e+00  9.3714e+00
3.8884e+00  9.2806e+00
3.8944e+00  9.5925e+00
3.9004e+00  9.7222e+00
3.9064e+00  9.6380e+00
3.9125e+00  9.8559e+00
3.9185e+00  9.5409e+00
3.9245e+00  9.6989e+00
3.9305e+00  9.5669e+00
3.9366e+00  9.4446e+00
3.9426e+00  9.1076e+00
3.9486e+00  9.4214e+00
3.9546e+00  9.2037e+00
3.9607e+00  9.1535e+00
3.9667e+00  9.2637e+00
3.9727e+00  9.0183e+00
3.9787e+00  9.1583e+00
3.9848e+00  9.1151e+00
3.9908e+00  9.0423e+00
3.9968e+00  8.9918e+00
4.0028e+00  9.1169e+00
4.0088e+00  9.1239e+00
4.0149e+00  9.1367e+00
