natx =     2587
    x       y        z       iph  
    -15.52789     -2.82999      5.94000   3     16.86439
    -14.87790     -1.45998     -7.84000   2     16.88043
      3.54000     11.94791     11.38790   3     16.88100
     -0.85999     -0.27000    -16.85789   4     16.88197
     14.43001     -1.60998      8.66000   4     16.90600
     -5.74789     14.49791     -6.64001   3     16.95044
      0.94000    -16.85999     -1.64999   2     16.96660
      9.32002    -11.66000      8.07001   4     16.96889
     -5.99790     13.75790      7.92001   4     16.97001
     -1.51790     16.18791     -4.97000   4     17.00157
    -10.94788     -5.39998    -11.84000   2     17.00593
    -15.20790      6.90792     -3.27000   1     17.02035
     16.44002      3.90002     -2.10001   4     17.02628
     14.35002     -8.35998      3.91000   4     17.06166
    -11.81790     -9.84000      7.40001   2     17.06600
      3.24000    -13.45999      9.98789   4     17.07123
      7.35001     12.25791      9.33790   2     17.07266
     -0.37999     16.76791     -3.21000   2     17.07663
      3.93002     15.82791      5.25001   4     17.13273
     -5.09790     11.15790    -11.97999   4     17.14665
     16.38002      3.08001     -4.03000   2     17.14737
      5.82000     -4.72000     15.42791   2     17.15142
    -16.21788      2.90002     -4.78000   4     17.15454
     -4.02790      8.44792     14.37791   3     17.15563
     -3.19789    -15.41000      6.84000   4     17.16042
      2.36000     16.59792      3.71001   2     17.17046
      8.76000    -14.20000     -4.07001   4     17.17389
    -14.00788     -1.60998     -9.82001   4     17.18271
     -5.09790    -11.23000    -11.97999   4     17.19365
    -12.63790    -10.55999     -5.01001   3     17.21424
     -7.66790     15.28791      2.06000   2     17.22674
     -2.47789     -3.63000    -16.65790   4     17.22795
     13.91000      2.89001     -9.85000   4     17.28765
      5.50001     -7.48998     14.58791   2     17.29616
    -15.51790      0.66002     -7.64001   4     17.30926
    -16.32790      0.91000     -5.69000   2     17.31486
     15.94001     -2.93998      6.09000   4     17.31518
     11.44002     -5.39998    -11.84000   2     17.32684
     -3.19789      6.97790    -15.54790   4     17.33940
     12.36000     12.15791     -0.55000   4     17.34609
      0.73000     -0.48998     17.33791   4     17.36018
    -17.09789     -2.99998     -0.57000   4     17.36843
      7.18000    -15.47998     -3.27000   1     17.37455
     -0.55000    -15.33999     -8.13999   4     17.37461
     -4.26790     12.84790    -10.94999   2     17.41223
     -8.40789    -10.51000     11.05790   3     17.41924
     -2.80789     15.18791      8.06000   3     17.42184
    -12.83789     -6.01999    -10.15000   4     17.43773
     10.24000     13.06791      5.37001   4     17.44892
      8.87000     -8.23998     12.60790   2     17.47951
     13.36000     -1.72998     11.13791   2     17.47958
      4.03000     16.93790      1.91000   4     17.51518
    -14.84790     -6.19999     -6.91999   4     17.51532
     15.27000     -5.91999      6.25001   3     17.52946
     13.36000     -1.72998    -11.24999   2     17.55120
      9.69000     14.63790      0.83001   4     17.57422
     -8.40789    -10.51000    -11.33000   3     17.59323
      0.15000      8.94791    -15.14790   4     17.59393
     -5.30790    -16.72998      1.28001   4     17.59843
     -1.00998    -16.90998     -4.85999   3     17.62348
      8.97000     -9.48000    -11.93000   4     17.68209
      5.50001     14.89792     -7.79999   2     17.69288
      2.13001      1.46000     17.52791   2     17.71712
     17.18000     -2.55999     -3.52000   3     17.72277
     -4.26790     12.84790     11.43791   2     17.72313
    -10.20790     13.43791     -5.46999   4     17.73977
      5.09000    -16.53998     -3.91999   4     17.74388
      8.21000    -14.00999     -7.16999   3     17.75085
    -16.61789     -4.19999     -4.67000   4     17.76522
     -6.44789     -2.93998    -16.29790   4     17.77190
      6.73000     16.45791      0.46000   3     17.78671
      6.06000      0.91000     16.69790   2     17.78684
      9.15000     12.97791     -8.09000   4     17.82124
     15.60000      6.50792     -5.67000   2     17.82868
    -10.97788    -12.79999     -5.88000   4     17.85856
     -2.09790     13.77792     11.17790   4     17.86554
     -7.28789      7.12790     14.68789   4     17.87889
     12.79001    -10.90998     -6.09000   2     17.88016
     -5.99790     -8.63000    -14.46789   4     17.88215
    -12.38790    -12.90000      0.04001   4     17.88495
     -2.09790     13.77792    -11.21000   4     17.88565
      2.94000     14.80792      9.59789   4     17.88959
      0.81002     15.37791      9.10999   2     17.89213
     -2.81790     -0.25999     17.66790   4     17.89310
      5.39000     10.92792    -13.13789   4     17.91858
    -14.50790    -10.51999     -0.03000   3     17.92066
      9.81000     14.95792     -1.55000   2     17.95488
    -14.17790      8.37791     -7.16999   3     17.96138
     12.37001     -9.72000      8.68001   4     17.96770
      8.60000     -5.72998    -14.70789   2     17.97539
      4.49001      8.44792     15.22789   2     17.98377
     -5.91788     13.92792     -9.73001   4     17.99114
    -17.77790     -0.63998      2.71001   4     17.99465
     10.57000     12.54790      7.40001   2     17.99819
