# 2Theta    Intensity
3.7485e+00  1.2391e+01
3.7545e+00  1.2371e+01
3.7605e+00  1.2372e+01
3.7665e+00  1.2342e+01
3.7724e+00  1.2396e+01
3.7784e+00  1.2395e+01
3.7844e+00  1.2350e+01
3.7904e+00  1.2383e+01
3.7964e+00  1.2390e+01
3.8024e+00  1.2375e+01
3.8084e+00  1.2408e+01
3.8144e+00  1.2357e+01
3.8204e+00  1.2355e+01
3.8263e+00  1.2320e+01
3.8323e+00  1.2363e+01
3.8383e+00  1.2349e+01
3.8443e+00  1.2321e+01
3.8503e+00  1.2310e+01
3.8563e+00  1.2271e+01
3.8623e+00  1.2288e+01
3.8683e+00  1.2271e+01
3.8742e+00  1.2266e+01
3.8802e+00  1.2272e+01
3.8862e+00  1.2317e+01
3.8922e+00  1.2254e+01
3.8982e+00  1.2252e+01
3.9042e+00  1.2268e+01
3.9102e+00  1.2275e+01
3.9162e+00  1.2262e+01
3.9221e+00  1.2252e+01
3.9281e+00  1.2274e+01
3.9341e+00  1.2229e+01
3.9401e+00  1.2260e+01
3.9461e+00  1.2212e+01
3.9521e+00  1.2234e+01
3.9581e+00  1.2230e+01
3.9640e+00  1.2243e+01
3.9700e+00  1.2207e+01
3.9760e+00  1.2231e+01
3.9820e+00  1.2274e+01
3.9880e+00  1.2250e+01
3.9940e+00  1.2230e+01
4.0000e+00  1.2233e+01
4.0060e+00  1.2278e+01
4.0119e+00  1.2199e+01
4.0179e+00  1.2240e+01
4.0239e+00  1.2248e+01
4.0299e+00  1.2207e+01
4.0359e+00  1.2210e+01
4.0419e+00  1.2200e+01
4.0479e+00  1.2252e+01
4.0538e+00  1.2172e+01
4.0598e+00  1.2238e+01
4.0658e+00  1.2205e+01
4.0718e+00  1.2213e+01
4.0778e+00  1.2238e+01
4.0838e+00  1.2233e+01
4.0897e+00  1.2250e+01
4.0957e+00  1.2187e+01
4.1017e+00  1.2246e+01
4.1077e+00  1.2186e+01
4.1137e+00  1.2211e+01
4.1197e+00  1.2176e+01
4.1257e+00  1.2165e+01
4.1316e+00  1.2209e+01
4.1376e+00  1.2177e+01
4.1436e+00  1.2147e+01
4.1496e+00  1.2182e+01
4.1556e+00  1.2200e+01
4.1616e+00  1.2159e+01
4.1675e+00  1.2141e+01
4.1735e+00  1.2146e+01
4.1795e+00  1.2177e+01
4.1855e+00  1.2210e+01
4.1915e+00  1.2168e+01
4.1975e+00  1.2166e+01
4.2034e+00  1.2164e+01
4.2094e+00  1.2175e+01
4.2154e+00  1.2165e+01
4.2214e+00  1.2146e+01
4.2274e+00  1.2169e+01
4.2334e+00  1.2159e+01
4.2393e+00  1.2200e+01
4.2453e+00  1.2182e+01
4.2513e+00  1.2174e+01
4.2573e+00  1.2182e+01
4.2633e+00  1.2157e+01
4.2693e+00  1.2138e+01
4.2752e+00  1.2165e+01
4.2812e+00  1.2190e+01
4.2872e+00  1.2216e+01
4.2932e+00  1.2124e+01
4.2992e+00  1.2161e+01
4.3051e+00  1.2139e+01
4.3111e+00  1.2168e+01
4.3171e+00  1.2185e+01
4.3231e+00  1.2150e+01
4.3291e+00  1.2158e+01
4.3351e+00  1.2200e+01
4.3410e+00  1.2196e+01
4.3470e+00  1.2235e+01
4.3530e+00  1.2248e+01
4.3590e+00  1.2230e+01
4.3650e+00  1.2282e+01
4.3709e+00  1.2276e+01
4.3769e+00  1.2294e+01
4.3829e+00  1.2282e+01
4.3889e+00  1.2321e+01
4.3949e+00  1.2339e+01
4.4008e+00  1.2291e+01
4.4068e+00  1.2311e+01
4.4128e+00  1.2360e+01
4.4188e+00  1.2372e+01
4.4247e+00  1.2422e+01
4.4307e+00  1.2388e+01
4.4367e+00  1.2455e+01
4.4427e+00  1.2445e+01
4.4487e+00  1.2600e+01
4.4546e+00  1.2587e+01
4.4606e+00  1.2644e+01
4.4666e+00  1.2696e+01
4.4726e+00  1.2731e+01
4.4785e+00  1.2711e+01
4.4845e+00  1.2799e+01
4.4905e+00  1.2903e+01
4.4965e+00  1.2914e+01
4.5024e+00  1.3036e+01
4.5084e+00  1.3122e+01
4.5144e+00  1.3274e+01
4.5203e+00  1.3366e+01
4.5263e+00  1.3495e+01
4.5323e+00  1.3762e+01
4.5383e+00  1.3936e+01
4.5442e+00  1.4206e+01
4.5502e+00  1.4515e+01
4.5562e+00  1.4936e+01
4.5621e+00  1.5504e+01
4.5681e+00  1.6389e+01
4.5741e+00  1.7942e+01
4.5801e+00  2.0630e+01
4.5860e+00  2.5869e+01
4.5920e+00  3.8947e+01
4.5980e+00  6.6742e+01
4.6039e+00  1.2705e+02
4.6099e+00  2.4056e+02
4.6159e+00  3.6833e+02
4.6218e+00  4.1928e+02
4.6278e+00  3.6541e+02
4.6338e+00  3.1054e+02
4.6398e+00  2.6146e+02
4.6457e+00  2.0053e+02
4.6517e+00  1.4359e+02
4.6577e+00  9.8713e+01
4.6636e+00  6.4463e+01
4.6696e+00  4.3883e+01
4.6756e+00  3.0895e+01
4.6815e+00  2.3078e+01
4.6875e+00  1.9358e+01
4.6935e+00  1.7139e+01
4.6994e+00  1.5548e+01
4.7054e+00  1.4842e+01
4.7114e+00  1.4346e+01
4.7173e+00  1.4064e+01
4.7233e+00  1.3724e+01
4.7293e+00  1.3566e+01
4.7352e+00  1.3331e+01
4.7412e+00  1.3140e+01
4.7472e+00  1.2973e+01
4.7531e+00  1.2895e+01
4.7591e+00  1.2837e+01
4.7651e+00  1.2699e+01
4.7710e+00  1.2655e+01
4.7770e+00  1.2646e+01
4.7830e+00  1.2483e+01
4.7890e+00  1.2399e+01
4.7949e+00  1.2403e+01
4.8009e+00  1.2261e+01
4.8069e+00  1.2283e+01
4.8128e+00  1.2293e+01
4.8188e+00  1.2170e+01
4.8247e+00  1.2144e+01
4.8307e+00  1.2149e+01
4.8367e+00  1.2044e+01
4.8426e+00  1.2050e+01
4.8486e+00  1.2017e+01
4.8546e+00  1.2015e+01
4.8605e+00  1.1967e+01
4.8665e+00  1.1957e+01
4.8725e+00  1.1962e+01
4.8784e+00  1.1919e+01
4.8844e+00  1.1911e+01
4.8904e+00  1.1877e+01
4.8963e+00  1.1852e+01
4.9023e+00  1.1866e+01
4.9083e+00  1.1895e+01
4.9142e+00  1.1852e+01
4.9202e+00  1.1874e+01
4.9262e+00  1.1828e+01
4.9321e+00  1.1872e+01
4.9381e+00  1.1838e+01
4.9441e+00  1.1816e+01
4.9500e+00  1.1825e+01
4.9560e+00  1.1784e+01
4.9619e+00  1.1770e+01
4.9679e+00  1.1666e+01
4.9739e+00  1.1752e+01
4.9798e+00  1.1754e+01
4.9858e+00  1.1738e+01
4.9918e+00  1.1742e+01
4.9977e+00  1.1720e+01
5.0037e+00  1.1699e+01
5.0097e+00  1.1716e+01
5.0156e+00  1.1660e+01
5.0216e+00  1.1666e+01
5.0275e+00  1.1704e+01
5.0335e+00  1.1670e+01
5.0395e+00  1.1642e+01
