# E          s-dos       p-dos       d-dos       f-dos
-1.0600e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.0500e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.0400e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.0300e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.0200e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.0100e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.0000e+01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.9000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.8000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.7000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.6000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.5000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.4000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.3000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.2000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.1000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-9.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.9000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.8000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.7000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.6000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.5000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.4000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.3000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.2000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.1000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-8.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.9000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.8000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.7000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.6000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.5000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
